entity_type,id,name,broad_category,mutable,allowed_strata,formalization_level,realized_by_wave,source,target,decomposition,gap,description
broad_cat,SUB02,structure,,,,L2,,,,,,Structural objects - graph blocks
broad_cat,SUB03,compute,,,,L2,,,,,,Compute objects - schedulable
broad_cat,SUB04,surface,,,,L2,,,,,,Surface objects - rendering
broad_cat,SUB05,protocol,,,,L2,,,,,,Protocol objects - communication
broad_cat,SUB06,infra,,,,L2,,,,,,Infrastructure objects - storage
broad_cat,SUB07,memory,,,,L2,,,,,,Memory objects - knowledge
broad_cat,SUB08,evaluation,,,,L1,,,,,Awaiting C_standard L2+,Evaluation objects - benchmarks (new v3)
broad_cat,SUB09,platform,,,,L2,,,,,,Platform objects - distribution and workstation config
broad_cat,SUB10,config,,,,L2,,,,,,Configuration objects - runtime preferences
object,OBJ01,User,identity,true,S2;S3,,,OWNS CAN_HYDRATE,,,,Authenticated actor — container whose morphisms grant owned-workspace access edges. No special ontological status.
object,OBJ02,ColliderAdmin,identity,true,S2;S3,,,OWNS CAN_HYDRATE PRE_FLIGHT_CONFIG,,,,Category administrator — elevated actor with governed OWNS edges to assigned containers.
object,OBJ03,SuperAdmin,identity,true,S2;S3,,,OWNS CAN_HYDRATE PRE_FLIGHT_CONFIG CAN_SCHEDULE CAN_FEDERATE,,,,Root administrator — transitive OWNS over all containers.
object,OBJ04,AppTemplate,structure,false,S1;S2,,,CAN_HYDRATE,OWNS PRE_FLIGHT_CONFIG,,,Template container — reusable subgraph pattern. Instantiation = ADD + LINK sequence.
object,OBJ05,NodeContainer,structure,true,S2;S3,,,LINK_NODES SYNC_ACTIVE_STATE,OWNS CAN_HYDRATE LINK_NODES ADD_NODE_CONTAINER,,,General-purpose container — default object in C. Payload in state_payload JSONB.
object,OBJ06,AgnosticModel,compute,true,S2;S3,,,CAN_HYDRATE,OWNS CAN_SCHEDULE CAN_ROUTE,,,LLM/ML model container — provider-agnostic URN. Provider config in state_payload.
object,OBJ07,SystemTool,compute,true,S2;S3,,,,OWNS CAN_HYDRATE CAN_ROUTE,,,Tool container — discovered via graph traversal; exposed via MCP protocol surface.
object,OBJ08,UI_Lens,surface,false,S4,,,SYNC_ACTIVE_STATE,OWNS CAN_HYDRATE,,,UI rendering surface — functor output: containers × wires → React component tree.
object,OBJ09,RuntimeSurface,surface,true,S2;S3,,,,OWNS PRE_FLIGHT_CONFIG CAN_ROUTE,,,Execution surface — HTTP/WS/MCP endpoint. Tools wire here to become executable.
object,OBJ10,ComputeResource,compute,true,S2;S3,,,,OWNS CAN_SCHEDULE,,,GPU device; Docker container; thread pool; VM — schedulable resource container.
object,OBJ11,ProtocolAdapter,protocol,true,S2;S3,,,CAN_ROUTE,OWNS CAN_HYDRATE,,,WS channel; MCP session; gRPC stream; HTTP endpoint — routable communication container.
object,OBJ12,InfraService,infra,true,S2;S3,,,,OWNS CAN_PERSIST,,,Postgres instance; disk volume; network segment — persistable infrastructure container.
object,OBJ13,MemoryStore,memory,true,S2;S3;S4,,,CAN_HYDRATE,OWNS CAN_PERSIST,,,Vector embedding store; context window; conversation history — ephemeral or persistent memory container.
object,OBJ14,PlatformConfig,platform,true,S2;S3,,,,OWNS PRE_FLIGHT_CONFIG,,,Platform distribution configuration — paths; store mode; build targets. Typed representation of distribution.json entries.
object,OBJ15,WorkstationConfig,platform,true,S2;S3,,,,OWNS PRE_FLIGHT_CONFIG,,,Workstation environment descriptor — OS; runtime ports; optional services. Typed representation of workstation.json entries.
object,OBJ16,Preference,config,true,S2;S3,,,,OWNS,,,Runtime preference — key-value wire_config with scope (system/workspace/user/session). Typed representation of preferences.json entries.
object,OBJ17,Provider,compute,true,S2;S3,,,OWNS,OWNS,,,LLM/AI provider container — adapter_type; API config; rate limits. OWNS model containers (OBJ06). Typed representation of providers.json entries.
object,OBJ18,BenchmarkSuite,evaluation,false,S2,,,,OWNS BENCHMARKED_BY,,,Named benchmark collection — groups BenchmarkTask entries. Definition object; immutable after creation.
object,OBJ19,BenchmarkTask,evaluation,false,S2,,,,OWNS EVALUATES_TASK,,,Individual benchmark task definition — prompt template; expected morphisms; difficulty. Immutable after creation.
object,OBJ20,BenchmarkScore,evaluation,false,S3,,,SCORED_ON EVALUATES_TASK BENCHMARKED_BY,OWNS,,,Benchmark result record — model’s scores on a task within a suite. Immutable once recorded. Sources MOR14/15/16.
object,OBJ21,AgentSpec,identity,true,S2;S3,,,CAN_HYDRATE CAN_ROUTE SYNC_ACTIVE_STATE,OWNS,,,Agent specification container — model binding; tool routing; state sync. The configured persona that acts on behalf of a User.
morphism,MOR01,OWNS,,,,,,,identity.*,any,LINK(owner; 'owns'; target; 'child'),,Ownership edge — automatic transitive propagation.
morphism,MOR02,CAN_HYDRATE,,,,,,,identity.* | structure.* | memory.*,any,LINK(actor; 'can_hydrate'; target; 'hydrate'),,Hydration permission — declared transitivity controlled by manifest/wire_config.
morphism,MOR03,PRE_FLIGHT_CONFIG,,,,,,,identity.admin+,surface.* | structure.*,MUTATE(surface; config_payload),,Runtime configuration — sets initial state before activation.
morphism,MOR04,SYNC_ACTIVE_STATE,,,,,,,surface.*,structure.*,MUTATE(container; current_state),,State synchronization — surface pushes current state to container.
morphism,MOR05,ADD_NODE_CONTAINER,,,,,,,identity.* | structure.*,structure.*,ADD(container) ; LINK(parent; 'owns'; container; 'child'),,Create + wire container into ownership tree.
morphism,MOR06,LINK_NODES,,,,,,,structure.*,structure.*,LINK(source; port_s; target; port_t),,General-purpose wiring — creates edge with specified port types.
morphism,MOR07,UPDATE_NODE_KERNEL,,,,,,,identity.* | compute.*,structure.*,MUTATE(container; kernel_state),,Kernel-level state update.
morphism,MOR08,UNLINK_EDGE,,,,,,,any,any,UNLINK(source; port_s; target; port_t),,Remove wire. Container persists. May create orphan nodes. (Renamed from DELETE_EDGE in v2 to align with §3 canonical NT name.)
morphism,MOR09,CAN_SCHEDULE,,,,,,,identity.admin+ | compute.*,compute.ComputeResource,LINK(kernel; 'can_schedule'; resource; 'workload'),,Workload allocation — kernel/admin schedules work to compute resource.
morphism,MOR10,CAN_ROUTE,,,,,,,protocol.ProtocolAdapter,any,LINK(adapter; 'can_route'; target; 'transport'),,Transport selection — protocol adapter routes traffic.
morphism,MOR11,CAN_PERSIST,,,,,,,any,infra.InfraService | memory.MemoryStore,LINK(source; 'can_persist'; infra; 'storage'),,Storage routing — container persists state through infra.
morphism,MOR12,CAN_FEDERATE,,,,,,,identity.SuperAdmin,surface.RuntimeSurface,LINK(kernel_a; 'can_federate'; kernel_b; 'peer'),,Cross-instance communication — morphism bundle exchange between mo:os instances.
morphism,MOR13,CAN_FORK,,,,,,,compute.* | identity.admin+,compute.ComputeResource,LINK(active_state; 'can_fork'; compute_gpu; 'vram_branch'),,Branch parallel exploration — fork active state graph into GPU VRAM for parallel DAG scoring.
morphism,MOR14,SCORED_ON,,,,,,,compute.AgnosticModel,evaluation.*,LINK(model; 'scored_on'; benchmark_score; 'result'),,Model achieved this benchmark score. New in v3 — cross-provider mapping (§9).
morphism,MOR15,EVALUATES_TASK,,,,,,,evaluation.*,structure.*,LINK(benchmark_score; 'evaluates_task'; task; 'evaluation'),,Score applies to this task definition. New in v3 — cross-provider mapping (§9).
morphism,MOR16,BENCHMARKED_BY,,,,,,,evaluation.*,evaluation.*,LINK(benchmark_score; 'benchmarked_by'; suite; 'membership'),,Score belongs to this benchmark suite. New in v3 — cross-provider mapping (§9).
invariant_nt,,ADD,,,,,,,∅ → Container,,,Create container — URN enters Ob(C)
invariant_nt,,LINK,,,,,,,C × C → Wire,,,Create wire — edge enters Hom(C)
invariant_nt,,MUTATE,,,,,,,C → C,,,Update container state — endomorphism
invariant_nt,,UNLINK,,,,,,,Wire → ∅,,,Remove wire — edge leaves Hom(C)
functor,FUN01,FileSystem,,,,,,Manifest (CAT14),C (CAT01),,,"Import functor - manifest.yaml -> graph"
functor,FUN02,UI_Lens,,,,,,C (CAT01),React (CAT15),,,"Render functor - graph -> XYFlow"
functor,FUN03,Embedding,,,,,,C (CAT01),R^1536 (CAT13),,,"Embed functor - payloads -> vectors"
functor,FUN04,Structure,,,,,,C (CAT01),DAG (CAT16),,planned,"GPU pre-analysis functor"
functor,FUN05,Benchmark,,,,,,Provider_p (CAT17),Standard (CAT18),,planned,"Cross-provider comparison functor"
system,SYS01,RootContainer,,,,,,,,,,Top-level ownership root
system,SYS02,MainLoop,,,,,,,,,,Kernel event loop
system,SYS03,RestingStateDB,,,,,,,,,,Postgres ground truth
system,SYS04,ActiveStateGraph,,,,,,,,,,Live hypergraph superposition
paper_ref,EXT01,H (HDC algebra),,,,L3,,,,,,"Hypervectors {-1 +1}^d - bind bundle permute"
paper_ref,EXT02,G_H (HyperGraphRAG),,,,L2,,,,,,"Hypergraph (V E_H)"
paper_ref,EXT03,P G (LogicGraph),,,,L1,,,,,,"Propositional sets"
